instructions,cycles,cpu-migrations,branches,branch-misses,context-switches,cache-references,cache-misses,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-stores,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,Thread,seconds,matrix_workload,Class,energy_joules
394652763778,185413876543,0,10445035694,9646604,5114,510015023,247662926,48440490792,106839438473,6917208907,454056731,10202913,480892878,235331561,9151,9151,1,61.01,262144,DLA,18050.580395888
394471969878,184456985784,0,10416218473,9738306,5068,494521079,246016745,48445604149,106783529279,6907053041,439767346,8822011,464865467,238719298,9157,9157,1,60.72,262144,DLA,18074.427331997
394654498999,184798889051,0,10418485334,9329996,5075,500327910,246668034,48442464341,106824603538,6908876539,445648690,9071655,469378999,235511988,9160,9160,1,60.82,262144,DLA,17886.0624829157
394538128656,184791903967,0,10429419478,9601163,5074,516465572,243618555,48448477218,106751571457,6901394985,477647408,9374167,477685509,233122359,9159,9159,1,60.8,262144,DLA,18137.7754371597
394662046097,184772508027,0,10422502868,9670200,5073,504299125,247991820,48444337746,106823980911,6918375857,443341475,9292075,474019039,236596388,9150,9150,1,60.81,262144,DLA,18146.4935304767
394511716675,184808083214,0,10413261466,10075006,5072,511971922,244031931,48446494579,106818613635,6899708976,466499071,9021059,477044612,233005305,9153,9153,1,60.81,262144,DLA,17950.1640120186
394313560296,184800399719,0,10422325257,10344704,5077,500438445,247107017,48440598381,106817593622,6917811390,445828226,9658580,476576117,235990408,9160,9160,1,60.83,262144,DLA,17986.0526700129
394598324063,184958507118,0,10433031941,10053116,5079,529034313,245796582,48447645874,106852319884,6899338007,498166023,9110998,489915841,235398087,9158,9158,1,60.87,262144,DLA,18178.0937308974
394572761321,184772436147,0,10423612956,9613482,5076,507811667,245141151,48448850004,106844050440,6913886124,457710770,9178027,476134043,234881150,9159,9159,1,60.8,262144,DLA,17971.3067094796
394600236490,185653237240,0,10436386544,10100504,5097,572650398,239493894,48434735020,106799652760,6908017046,615388568,9602058,512230719,229748919,9159,9159,1,61.07,262144,DLA,18033.349924207
394532949887,184802232518,0,10427396539,10164699,5074,498635162,245943818,48434503172,106802529516,6930243472,443835143,9225232,478186851,236897153,9152,9152,1,60.8,262144,DLA,10157321.2018512
394613264056,184791625380,0,10434402531,9664352,5074,514118041,245070973,48440349140,106799231314,6906928143,453891584,9165172,483178481,232725965,9157,9157,1,60.79,262144,DLA,10157561.1878773
394568791803,185623442987,0,10417482386,9442468,5097,530846498,246120656,48446405550,106830379256,6950768944,488845130,10106258,488367469,232979547,9152,9152,1,61.1,262144,DLA,10157397.4994401
394576371255,185067967331,0,10429607330,9109268,5120,487067576,247348234,48446699303,106812933835,6902331125,433659526,9433554,463582610,238298798,9160,9160,1,60.89,262144,DLA,10157371.6709398
394508515062,184767867493,0,10441479758,10152389,5072,500765770,246699917,48442618357,106822264932,6899630251,446211886,9478589,480257386,235970170,9160,9160,1,60.8,262144,DLA,10157548.2814654
394705125438,184886403274,0,10445441526,10123658,5096,493311089,246212842,48437301855,106790375452,6899641311,436776270,8940123,466921244,236004984,9149,9149,1,60.83,262144,DLA,10157475.5507362
394564307066,185310937316,0,10432593912,10292957,5096,505396974,249540747,48453100729,106753633663,6920679906,448945012,10166481,472460806,238537577,9150,9150,1,60.97,262144,DLA,10157435.7047759
394561971253,185297331317,0,10419646929,9953625,5089,521856182,244709851,48449987272,106822932587,6926474341,475444074,9889871,481990222,232872404,9150,9150,1,60.98,262144,DLA,10157428.0406275
394581406635,184932618874,0,10435548657,10134763,5083,502339441,249419105,48436882174,106808974815,6905039505,443264821,9651183,482488970,239340179,9160,9160,1,60.85,262144,DLA,10157410.1855667
394374078541,184755879707,0,10429636193,9940086,5097,492753374,245298658,48450518439,106819308460,6915183958,440396984,8888954,469103114,236216174,9149,9149,1,60.82,262144,DLA,10157277.4125454
394622807239,185117730133,0,10440848571,10418719,5083,500113133,250388215,48437812950,106795176098,6911672691,442535798,10294439,475034182,240084802,9153,9153,1,60.9,262144,DLA,5310164.39021934
394642804249,184966502441,0,10417615517,9935020,5117,519720031,242963829,48443573134,106815497594,6904753550,481413118,9386982,479652315,230572175,9159,9159,1,60.88,262144,DLA,5310180.48390731
394324926089,185984532617,0,10418876579,9043745,5109,553384520,240758182,48453119387,106831348774,6909885950,544400853,10157815,504892064,231190566,9158,9158,1,61.22,262144,DLA,5310287.11550455
394644484612,185106731050,0,10429156338,9555150,5084,501943363,249350748,48442239732,106832373942,6911409528,443924353,9964994,470481017,236509922,9150,9150,1,60.93,262144,DLA,5310218.58349224
394642556053,185131994435,0,10427926600,9678823,5123,511076335,245524872,48446883662,106833738753,6900258568,450485037,9346358,477605241,233825736,9150,9150,1,60.93,262144,DLA,5310188.63628447
394602655774,184785538287,0,10434811228,10505526,5073,497434224,247622075,48440899350,106823554627,6912950880,443040509,9443621,472743543,235281679,9149,9149,1,60.8,262144,DLA,5310241.80175609
394558840204,184756402400,0,10435695324,9990376,5092,488961654,247302779,48440932784,106820388685,6909010419,434194642,9096077,473217874,237235578,9153,9153,1,60.8,262144,DLA,5310189.92327328
394644326622,185347895083,2,10399280251,9941658,5140,525655228,247771162,48464876756,106751341201,6928092375,478027847,10410457,479760275,234133221,7343,7343,1,61.53,262144,DLA,5310217.12001853
394575161843,184954058057,0,10416093296,9757257,5080,497024224,249629871,48445289664,106813120264,6935316477,442600026,10169345,471174208,236682925,9151,9151,1,60.87,262144,DLA,5310235.39708858
394232358706,185188858989,2,10427299051,10239708,5126,508467380,248726942,48438276739,106803148735,6943249266,458168076,10501522,470643175,236147676,12746,12746,1,61.38,262144,DLA,5310160.20984095
394751234227,185170888565,4,10578386041,10675723,5869,514585886,189322134,48515994951,106931814931,6904167029,467566933,15275310,463110245,165845864,5684,5684,2,34.86,262144,DLA,3590081.88448978
393945276910,184859428124,1,10527710980,10391382,5203,511379621,187113907,48697548694,106913441975,6888696424,452609798,15647196,463998199,165372386,5681,5681,2,31.12,262144,DLA,3590056.96354398
394502310511,183644262491,3,10530054202,10365227,5845,509220683,184738314,48561634433,106886067688,6920956697,449329439,12208093,458356381,161530691,5685,5685,2,34.64,262144,DLA,3589997.92914195
394660455133,185011786459,4,10527698002,10487508,5654,516994794,189349461,48446978642,106892531432,6910103394,472878691,15086661,464005697,164807612,5674,5674,2,33.45,262144,DLA,3590055.92211071
393954934742,184151655124,3,10500097123,10063518,5495,516412057,183320895,48843916160,106919913495,6905405207,462990240,13758192,477651043,160495448,6608,6608,2,32.61,262144,DLA,3590086.29514629
394093088511,185055634788,3,10525614068,10304328,5482,533408519,189607494,48569372673,106887530820,6908546324,472404387,14950941,462723994,162491953,5694,5694,2,32.59,262144,DLA,3590036.95797133
394704634639,184279835132,5,10512202905,10269579,5824,506861211,183601207,48525676499,106842912554,6892244283,471212650,14634086,476216670,162686921,6617,6617,2,34.51,262144,DLA,3590035.37315376
394536649060,183634983368,5,10488909647,10528874,5841,498051486,186747767,48476911161,106854397619,6908970022,444609827,12018098,452068737,160767072,5678,5678,2,34.67,262144,DLA,3590010.09240856
393851791932,184952430479,1,10499775988,10063319,5187,527411448,187812442,48682476567,106986836010,6915704536,476136016,14994210,468947555,164262048,4758,4758,2,31.02,262144,DLA,3590063.51903715
393989491479,184494364203,10,10529677701,10247512,5893,518947180,190670178,48660025773,107017611828,6909108277,471890599,18574991,459700546,165259269,6619,6619,2,34.84,262144,DLA,3590091.33753588
394521216331,184314802347,3,10552443646,10451154,5768,504859399,182677969,48549235623,106901243524,6931049130,468136290,12717297,473935198,161088475,5673,5673,2,34.33,262144,DLA,2607320.94534382
394314846378,184590359641,1,10480766927,10230264,5392,526453682,182619671,48520380285,106836321593,6900336088,494066829,13498777,477326699,161116724,5685,5685,2,32.19,262144,DLA,2607342.56598664
393727367365,184914394616,1,10476956107,10262135,5134,527668975,188145731,48625376107,106902575295,6916949030,493846216,15339406,474170798,162686889,4760,4760,2,30.66,262144,DLA,2607370.80002646
393837427576,185284949735,1,10481247353,10139041,5323,527416470,186603837,48623992092,106922424679,6920385472,488781621,16479452,476717448,163104092,5694,5694,2,31.66,262144,DLA,2607375.75294387
394301847978,185091323638,3,10574130084,9977874,5553,525901837,185686587,48660214744,106990134576,6911391375,474264903,15760878,467413509,162469146,6597,6597,2,32.9,262144,DLA,2607350.87196335
